,0
799,493
800,500
801,488
802,497
803,500
804,488
805,499
806,490
807,487
808,494
809,479
810,488
811,487
812,482
813,495
814,496
815,511
816,523
817,521
818,535
819,531
820,532
821,537
822,525
823,532
824,527
825,517
826,528
827,517
828,520
829,520
830,510
831,520
832,516
833,515
834,522
835,509
836,519
837,518
838,512
839,521
840,508
841,515
842,516
843,505
844,518
845,515
846,508
847,514
848,502
849,512
850,506
851,503
852,516
853,507
854,514
855,514
856,505
857,516
858,507
859,483
860,486
861,494
862,539
863,557
864,526
865,518
866,499
867,501
868,500
869,490
870,501
871,494
872,493
873,499
874,490
875,498
876,497
877,489
878,497
879,484
880,485
881,481
882,476
883,489
884,485
885,486
886,494
887,491
888,517
889,523
890,525
891,536
892,528
893,534
894,537
895,524
896,531
897,523
898,525
899,524
900,514
901,521
902,518
903,510
904,520
905,513
906,519
907,520
908,507
909,520
910,514
911,512
912,518
913,507
914,519
915,519
916,513
917,515
918,504
919,511
920,514
921,505
922,516
923,506
924,502
925,508
926,500
927,511
928,510
929,506
930,519
931,509
932,517
933,516
934,487
935,481
936,494
937,524
938,569
939,533
940,520
941,510
942,501
943,508
944,492
945,502
946,493
947,493
948,493
949,495
950,490
951,500
952,489
953,493
954,494
955,480
956,495
957,475
958,490
959,481
960,484
961,489
962,505
963,503
964,526
965,520
966,534
967,537
968,531
969,538
970,526
971,527
972,526
973,517
974,528
975,514
976,519
977,524
978,509
979,525
980,517
981,513
982,525
983,509
984,521
985,518
986,510
987,516
988,510
989,515
990,514
991,509
992,514
993,509
994,510
995,514
996,506
997,515
998,515
999,500
