,0
799,516
800,479
801,556
802,456
803,631
804,455
805,472
806,505
807,507
808,452
809,541
810,525
811,560
812,482
813,513
814,513
815,500
816,507
817,493
818,518
819,515
820,516
821,515
822,496
823,524
824,509
825,512
826,511
827,509
828,528
829,505
830,525
831,527
832,509
833,501
834,511
835,508
836,518
837,497
838,512
839,510
840,507
841,502
842,519
843,497
844,509
845,516
846,505
847,507
848,506
849,497
850,497
851,499
852,507
853,496
854,506
855,500
856,496
857,488
858,514
859,521
860,504
861,503
862,500
863,473
864,529
865,517
866,512
867,511
868,501
869,524
870,517
871,510
872,504
873,510
874,515
875,504
876,493
877,511
878,515
879,514
880,512
881,509
882,496
883,512
884,500
885,516
886,519
887,506
888,514
889,497
890,509
891,522
892,504
893,507
894,502
895,504
896,519
897,510
898,500
899,513
900,518
901,511
902,478
903,529
904,525
905,515
906,512
907,502
908,496
909,519
910,510
911,520
912,506
913,515
914,500
915,506
916,509
917,521
918,506
919,509
920,512
921,508
922,509
923,509
924,470
925,545
926,510
927,514
928,508
929,500
930,517
931,513
932,502
933,515
934,502
935,529
936,495
937,520
938,506
939,480
940,537
941,509
942,504
943,518
944,488
945,515
946,492
947,531
948,508
949,500
950,511
951,510
952,505
953,532
954,497
955,494
956,508
957,504
958,505
959,499
960,520
961,515
962,497
963,500
964,519
965,495
966,519
967,529
968,511
969,507
970,495
971,506
972,509
973,509
974,509
975,506
976,512
977,513
978,512
979,512
980,510
981,516
982,515
983,513
984,513
985,507
986,497
987,514
988,516
989,521
990,515
991,509
992,511
993,513
994,510
995,517
996,510
997,517
998,509
999,511
